date,Algae_Total,Algae_Sum,Algae_diff
2021-04-30,6.120998553,6.122561505000001,-0.0015629520000013386
2021-05-01,13.05287988,13.055282199,-0.002402318999999764
2021-05-02,15.77103473,15.771374819,-0.00034008899999982134
2021-05-03,17.00618663,17.007024244,-0.0008376140000017074
2021-05-04,9.338982536,9.33977221,-0.0007896739999999625
2021-05-05,9.400885023,9.400839637,4.538600000003612e-05
2021-05-06,11.73365471,11.735044843,-0.0013901330000010148
2021-05-07,11.62478395,11.625895061000001,-0.0011111110000019409
2021-05-08,16.67600318,16.680350322000002,-0.004347142000003856
2021-05-09,22.49001447,22.493617941,-0.00360347100000169
2021-05-10,16.52032562,16.525246019,-0.00492039899999952
2021-05-11,25.29261939,18.971342253000003,6.321277136999996
2021-05-12,26.97001447,21.865564402,5.1044500679999985
2021-05-13,29.38000724,21.909088279000002,7.470918960999999
2021-05-14,18.59640376,18.595933428,0.00047033200000257125
2021-05-15,16.45191751,16.45210564,-0.00018812999999795466
2021-05-16,12.46817656,12.469891461,-0.0017149009999997133
2021-05-17,11.85104197,11.853444284000002,-0.0024023140000011267
2021-05-18,12.90041245,12.899963820999998,0.0004486290000009774
2021-05-19,10.86202752,10.863084721,-0.0010572010000000631
2021-05-20,11.79195369,11.793205499,-0.0012518090000011028
2021-05-21,10.93223589,10.932503618000002,-0.0002677280000025206
2021-05-22,14.62744388,14.627393193,5.068699999988269e-05
2021-05-23,13.45615496,13.4598769,-0.0037219400000001457
2021-05-24,18.74377713,18.745738065999998,-0.0019609359999961384
2021-05-25,12.44767728,12.448502171,-0.0008248909999988285
2021-05-26,11.57366136,11.574565847,-0.0009044870000014527
2021-05-27,18.79989146,18.803458757999998,-0.003567297999996555
2021-05-28,30.00017652,22.238157084,7.762019435999999
2021-05-29,21.28761939,21.290738060000002,-0.0031186700000027656
2021-05-30,10.0176411,10.020926194000001,-0.0032850940000006545
2021-05-31,7.051535119,7.060412744,-0.008877624999999334
2021-06-01,10.49589428,10.506314263999998,-0.01041998399999855
2021-06-02,9.191506155,9.20173063,-0.010224474999999345
2021-06-03,6.921904417,6.931745113,-0.009840695999999483
2021-06-04,8.314532947,8.324532947,-0.009999999999999787
2021-06-05,7.733178856,7.743164373,-0.00998551699999961
2021-06-06,8.009724837,8.018363504,-0.0086386669999996
2021-06-07,9.921859624,9.928958031999999,-0.007098407999999168
2021-06-08,13.74384949,13.749261939,-0.005412448999999597
2021-06-09,8.661577424,8.666302461,-0.004725037000000043
2021-06-10,10.03361795,10.037793053,-0.00417510299999968
2021-06-11,12.12203329,12.125079595999999,-0.0030463059999998876
2021-06-12,18.20921072,18.209587254,-0.0003765339999972639
2021-06-13,30.5816365,24.054713974000002,6.526922525999996
2021-06-14,23.00211441,23.00212889,-1.4480000000816062e-05
2021-06-15,31.96731761,22.791175813833327,9.176141796166672
2021-06-16,31.23793832,24.818868708666667,6.4190696113333345
2021-06-17,30.50855902,22.894385612999997,7.614173407000003
2021-06-18,25.64664223,22.64394864633333,3.0026935836666695
2021-06-19,22.62076032,20.48763500216667,2.133125317833329
2021-06-20,21.67378261,21.675608697999998,-0.0018260879999978386
2021-06-21,12.94307525,12.946020260000001,-0.002945010000001247
2021-06-22,9.034965278,9.037994791000001,-0.003029513000001316
2021-06-23,9.579153401,9.579232996,-7.959500000076503e-05
2021-06-24,8.664826339,8.665709117,-0.0008827780000011387
2021-06-25,9.338314038,9.339312589999999,-0.0009985519999986536
2021-06-26,8.251410999,8.252894356,-0.0014833569999996854
2021-06-27,19.65841534,19.66366136,-0.005246019999997742
2021-06-28,30.73459812,25.989393893,4.745204227000002
2021-06-29,26.27138205,24.721490099,1.5498919509999993
2021-06-30,18.81708738,18.818155336,-0.001067955999999981
2021-07-01,17.8531042,17.853379164,-0.00027496399999904497
2021-07-02,20.01183333,20.012210145,-0.00037681499999919765
2021-07-03,24.68549928,24.686244578,-0.0007452980000017817
2021-07-04,17.38403039,17.383994211999998,3.6178000001996224e-05
2021-07-05,24.25771346,24.257756875000002,-4.341500000037968e-05
2021-07-06,21.03905141,21.03981897,-0.0007675599999998894
2021-07-07,18.13720492,18.13955105,-0.002346130000002944
2021-07-08,19.12818841,19.128239134,-5.0724000001167724e-05
2021-07-09,9.257550725,9.262927536,-0.005376810999999648
2021-07-10,10.34543085,10.348993483,-0.003562632999999593
2021-07-11,10.15242578,10.155517741,-0.0030919610000008646
2021-07-12,12.31613603,12.318907379999999,-0.002771349999999728
2021-07-13,11.36910275,11.372228654999999,-0.0031259049999992072
2021-07-14,22.57560463,11.732796804,10.842807826000001
2021-07-15,26.25574009,13.027315593,13.228424496999999
2021-07-16,29.93587554,13.275452404000001,16.660423136
2021-07-17,29.14519899,13.03615072,16.109048270000002
2021-07-18,28.35452243,12.048766549,16.305755881
2021-07-19,23.28674149,12.207481581,11.079259909000001
2021-07-20,11.36172339,11.366654598,-0.004931208000000353
2021-07-21,8.350644461,8.354728457,-0.004083996000000312
2021-07-22,9.266821144,9.270456191,-0.0036350469999995028
2021-07-23,17.47052136,17.472650254999998,-0.002128894999998465
2021-07-24,23.94981173,23.949869658999997,-5.7928999996903485e-05
2021-07-25,22.02715424,22.027241135,-8.689499999903205e-05
2021-07-26,19.46160637,19.462098407,-0.0004920370000007779
2021-07-27,16.01509407,16.015861071,-0.0007670009999998229
2021-07-28,10.79672214,10.804580318000001,-0.007858178000001104
2021-07-29,11.94212012,11.944978293,-0.0028581729999999084
2021-07-30,11.57283852,11.576705287,-0.003866766999999882
2021-07-31,13.80916064,13.812452965999999,-0.0032923259999986243
2021-08-01,16.95293777,16.95693198,-0.003994210000001885
2021-08-02,19.79322954,19.797146999000002,-0.003917459000003731
2021-08-03,14.18129616,14.188182476000001,-0.006886316000001003
2021-08-04,10.73699493,10.74525706,-0.008262130000000312
2021-08-05,10.24670529,10.256741492000002,-0.010036202000001992
2021-08-06,13.44576394,9.348004071,4.097759869000001
2021-08-07,9.647280638,9.657215374,-0.009934735999999944
2021-08-08,7.860558781,7.870428156999999,-0.009869375999999264
2021-08-09,7.930094135,7.937733527,-0.007639391999999745
2021-08-10,6.529775687,6.537908827,-0.008133139999999983
2021-08-11,7.683125904,7.691345875,-0.008219970999999937
2021-08-12,9.694167873,9.700195370000001,-0.006027497000001603
2021-08-13,8.755436975,8.763865546000002,-0.008428571000001384
2021-08-14,14.35650738,14.363770634,-0.007263253999999719
2021-08-15,19.76539626,19.76839715,-0.0030008899999991456
2021-08-16,14.7926647,14.797128809999998,-0.004464109999998911
2021-08-17,13.51549947,13.52168244,-0.006182969999999344
2021-08-18,16.5447852,16.551443914,-0.006658714000000288
2021-08-19,19.1492123,19.159173873999997,-0.009961573999998308
2021-08-20,17.44749383,17.454345682,-0.006851852000000491
2021-08-21,14.43493606,14.43774936,-0.0028132999999996855
2021-08-22,24.4366241,24.444852352999998,-0.008228252999998631
2021-08-23,23.64866716,23.654214447,-0.005547287000002399
2021-08-24,20.17042274,20.174358604000002,-0.003935864000002454
2021-08-25,23.56687183,23.570362061,-0.0034902310000006764
2021-08-26,22.16101376,22.16360608,-0.0025923200000015356
2021-08-27,20.88792754,20.88826087,-0.0003333300000001316
2021-08-28,18.4588559,17.964090751,0.4947651489999991
2021-08-29,15.91853729,15.920398261999999,-0.0018609719999993501
2021-08-30,13.90198407,13.904685011,-0.002700941000000512
2021-08-31,11.62563676,11.628219972,-0.0025832119999993353
2021-09-01,9.601657019,9.60549204,-0.003835021000000438
2021-09-02,8.237445731,8.241237337000001,-0.003791606000001835
