model_name,horizon,target,dataset,nRMSE,nMAE,NSE,KGE
LSTM_MLP,3,Cyanobacteria,val,0.40249948106371203,0.294020698848257,0.04308134779303896,0.2542819600755394
LSTM_MLP,3,Diatoms,val,1.107112558505469,0.7615481584936524,0.3610480582866331,0.40742955103935763
LSTM_MLP,3,Cryptophyta,val,0.7443790388867938,0.5903761156564626,-1.4377008753087082,0.15548479188125852
LSTM_MLP,3,Algae_Sum,val,0.4939350261121876,0.3867855943229412,-0.4843112375608385,0.16080690096737438
LSTM_MLP,1,Green_Algae,test,2.2811555531124648,1.685686650583996,-0.21490741238383704,-0.2692273000167662
LSTM_MLP,1,Cyanobacteria,test,0.40595259812194906,0.32000389719380073,0.37438824390463776,0.3333196283100206
LSTM_MLP,1,Diatoms,test,0.8662022062642722,0.6605621263794376,0.039990427716968924,0.11515601966686739
LSTM_MLP,1,Cryptophyta,test,0.48092454304051413,0.36127056725240203,0.15902900456252023,0.32396098315124544
LSTM_MLP,1,Algae_Sum,test,0.3721848045167253,0.29559262962728017,0.3460153347812033,0.3598298283707422
LSTM_MLP,2,Green_Algae,test,2.7155897622637912,1.8967396334136253,-0.6941272300615338,-0.24878820188558604
LSTM_MLP,2,Cyanobacteria,test,0.463095459622826,0.37499404844909884,0.1970973625618948,0.21709273908161375
LSTM_MLP,2,Diatoms,test,0.9220798773261397,0.6950197386161118,-0.08672591975190858,0.02535664384446401
LSTM_MLP,2,Cryptophyta,test,0.574399020940642,0.44538650146669256,-0.18255288662660019,0.11061734338483031
LSTM_MLP,2,Algae_Sum,test,0.45835744739753864,0.3752234624550695,0.027172132020310436,0.14334109034754028
LSTM_MLP,3,Green_Algae,test,3.2490051216570266,2.23302984988291,-1.4367208969451601,-0.5698008498208298
LSTM_MLP,3,Cyanobacteria,test,0.5026420078667466,0.4099745170920142,0.06497015867680644,0.10855577709908748
LSTM_MLP,3,Diatoms,test,0.9725048041709206,0.7329698675347595,-0.20916787518435087,-0.04657322474038095
LSTM_MLP,3,Cryptophyta,test,0.5944983718241723,0.46831518764867885,-0.2687859089519986,0.0822771007023293
LSTM_MLP,3,Algae_Sum,test,0.5360139104962323,0.4453208776295654,-0.31587749386052755,-0.05265741721050321
LSTM_KAN,1,Green_Algae,train,0.3864014027413895,0.28718636042306966,0.7883260526712823,0.8295103146008107
LSTM_KAN,1,Cyanobacteria,train,0.29398063307090144,0.21418506174287277,0.7642644929095046,0.8465926899724818
LSTM_KAN,1,Diatoms,train,0.4081946404508147,0.27555465194401735,0.799025242949464,0.8506182290205919
LSTM_KAN,1,Cryptophyta,train,0.4924174628657053,0.33893575822983896,0.7495871439512687,0.8114736147461005
LSTM_KAN,1,Algae_Sum,train,0.26882479892712524,0.2062739700879058,0.774002369324568,0.8028949936268159
LSTM_KAN,2,Green_Algae,train,0.4943633945198745,0.37618603076343343,0.6538404583546034,0.7334808512017306
LSTM_KAN,2,Cyanobacteria,train,0.35762442144233836,0.2620716729676602,0.6512042321494551,0.7403502426603927
LSTM_KAN,2,Diatoms,train,0.5089284940104257,0.3437957004330674,0.6882591727055944,0.7768759279220612
LSTM_KAN,2,Cryptophyta,train,0.6063611909507803,0.42839490081176484,0.62081738741298,0.6965140767200118
LSTM_KAN,2,Algae_Sum,train,0.35818268147698457,0.27638029161535427,0.5986141314500957,0.6589519024339279
LSTM_KAN,3,Green_Algae,train,0.5539094852079843,0.4271281618281834,0.5650223827575872,0.6599575181505282
LSTM_KAN,3,Cyanobacteria,train,0.3875034615654527,0.2782279115344189,0.5906013920329016,0.6671298339014055
LSTM_KAN,3,Diatoms,train,0.5807601102013193,0.4009714719210872,0.5951329471304774,0.6918880394681886
LSTM_KAN,3,Cryptophyta,train,0.6633031906523946,0.4773846603077569,0.5462326742258751,0.6397472267867849
LSTM_KAN,3,Algae_Sum,train,0.40791524139159047,0.31780502942901173,0.4782619275974671,0.5532819160185858
LSTM_KAN,1,Green_Algae,val,0.6452471354480367,0.4935346448851471,0.60726945436843,0.6511804364836964
LSTM_KAN,1,Cyanobacteria,val,0.30397889990111426,0.2282393262519132,0.44891404873592233,0.6076692578614094
LSTM_KAN,1,Diatoms,val,0.8896337872606004,0.6626748806731778,0.5822454394478769,0.5418714987416993
LSTM_KAN,1,Cryptophyta,val,0.47257597981116145,0.3907323562084984,0.06630175638264046,0.5442224090551362
LSTM_KAN,1,Algae_Sum,val,0.33412749031628053,0.2710698492967027,0.3185598166611028,0.6049561613705068
LSTM_KAN,2,Green_Algae,val,0.8442499087049115,0.66363345324507,0.34219898267417226,0.48426470653258724
LSTM_KAN,2,Cyanobacteria,val,0.3835948100251205,0.2977983316652264,0.1258845212560603,0.3833057566393402
