model,horizon,target,dataset,method,nRMSE,nMAE,NSE,KGE
LSTM-KAN,2,Cyanobacteria,test,DynamicWLS,0.46958320822305966,0.3814782837461827,0.1744431969420247,0.2151401846200378
LSTM-KAN,2,Diatoms,test,Base,0.9039879679435038,0.6679948023432503,-0.04449950349058884,0.06778097456057308
LSTM-KAN,2,Diatoms,test,DynamicWLS,0.9039822295320558,0.667971841240328,-0.04448624280771063,0.06779796844144159
LSTM-KAN,2,Cryptophyta,test,Base,0.5042982199315437,0.3828692307854617,0.08847610110511939,0.3007166810940346
LSTM-KAN,2,Cryptophyta,test,DynamicWLS,0.5042980370040527,0.38286876109373164,0.08847676239140978,0.30071912493921715
LSTM-KAN,3,Algae_Sum,test,Base,0.4516508027339076,0.3615033851610354,0.0657375211783009,0.10923020045490206
LSTM-KAN,3,Algae_Sum,test,DynamicWLS,0.4465655550309832,0.35724934174076156,0.08665726715369626,0.12708986629629182
LSTM-KAN,3,Green_Algae,test,Base,3.6723065784033904,3.1295134831742697,-2.1130268071429734,-1.8379870355772079
LSTM-KAN,3,Green_Algae,test,DynamicWLS,3.6722053568337234,3.129669931179607,-2.1128551977686443,-1.8383770403260575
LSTM-KAN,3,Cyanobacteria,test,Base,0.5135697950002716,0.4177051189735901,0.023871799394509563,0.09729521832076182
LSTM-KAN,3,Cyanobacteria,test,DynamicWLS,0.5138436692328892,0.41802346553613373,0.022830431126913187,0.09530055775495638
LSTM-KAN,3,Diatoms,test,Base,0.9089604419620253,0.673440151076678,-0.05631405125217537,0.05769589949598797
LSTM-KAN,3,Diatoms,test,DynamicWLS,0.9089644462298848,0.6734546677246028,-0.05632335809002287,0.05768007123850305
LSTM-KAN,3,Cryptophyta,test,Base,0.5677280222568108,0.4306145478904365,-0.157091406776662,0.15293034188594956
LSTM-KAN,3,Cryptophyta,test,DynamicWLS,0.5677284760059621,0.4306154998095087,-0.15709325635756355,0.15292567216819242
